,estimator,min_score,mean_score,max_score,std_score,C,bootstrap,gamma,kernel,learning_rate,max_depth,max_features,min_samples_split,n_estimators
194,RF,0.25,0.5783333333333334,1.0,0.21896854162692464,,False,,,,5,25,10,
193,RF,0.25,0.5983333333333334,1.0,0.22894079778162932,,False,,,,5,25,7,
192,RF,0.25,0.665,1.0,0.18670386534116892,,False,,,,5,25,5,
191,RF,0.25,0.6233333333333333,1.0,0.23048258550750036,,False,,,,5,25,3,
214,RF,0.25,0.6316666666666667,1.0,0.21153539236312732,,False,,,,3,20,10,
215,RF,0.25,0.6766666666666666,1.0,0.23048258550750036,,False,,,,3,25,2,
216,RF,0.25,0.6566666666666667,1.0,0.20925794820959345,,False,,,,3,25,3,
217,RF,0.25,0.6233333333333333,1.0,0.23048258550750036,,False,,,,3,25,5,
249,RF,0.25,0.5783333333333334,1.0,0.21896854162692464,,False,,,,2,30,10,
248,RF,0.25,0.6433333333333333,1.0,0.25256462319352824,,False,,,,2,30,7,
247,RF,0.25,0.6233333333333333,1.0,0.23048258550750036,,False,,,,2,30,5,
246,RF,0.25,0.6233333333333333,1.0,0.23048258550750036,,False,,,,2,30,3,
244,RF,0.25,0.6233333333333333,1.0,0.23048258550750036,,False,,,,2,25,10,
243,RF,0.25,0.6233333333333333,1.0,0.23048258550750036,,False,,,,2,25,7,
240,RF,0.25,0.6233333333333333,1.0,0.23048258550750036,,False,,,,2,25,2,
238,RF,0.25,0.6433333333333333,1.0,0.25256462319352824,,False,,,,2,20,7,
233,RF,0.25,0.5983333333333334,1.0,0.22894079778162932,,False,,,,3,40,7,
231,RF,0.25,0.6233333333333333,1.0,0.23048258550750036,,False,,,,3,40,3,
230,RF,0.25,0.6233333333333333,1.0,0.23048258550750036,,False,,,,3,40,2,
229,RF,0.25,0.6233333333333333,1.0,0.23048258550750036,,False,,,,3,35,10,
228,RF,0.25,0.6033333333333333,1.0,0.2228352655114436,,False,,,,3,35,7,
227,RF,0.25,0.6316666666666666,1.0,0.21153539236312732,,False,,,,3,35,5,
1,AB,0.4,0.7016666666666667,1.0,0.18400634047046674,,,,,1.0,,,,150
221,RF,0.25,0.5983333333333334,1.0,0.22894079778162932,,False,,,,3,30,3,
220,RF,0.25,0.6116666666666667,1.0,0.2039948256424385,,False,,,,3,30,2,
219,RF,0.25,0.5983333333333334,1.0,0.22894079778162932,,False,,,,3,25,10,
218,RF,0.25,0.6183333333333334,1.0,0.25314137464183045,,False,,,,3,25,7,
330,SVM,0.3333333333333333,0.5816666666666667,1.0,0.18950960104672504,1,,0.01,rbf,,,,,
331,SVM,0.3333333333333333,0.7633333333333334,1.0,0.23860706890897704,1,,0.005,linear,,,,,
332,SVM,0.3333333333333333,0.6016666666666666,1.0,0.17957511582126914,1,,0.005,rbf,,,,,
407,SVM,0.3333333333333333,0.7633333333333334,1.0,0.23860706890897704,100,,0.0005,linear,,,,,
419,SVM,0.3333333333333333,0.7633333333333334,1.0,0.23860706890897704,500,,0.01,linear,,,,,
418,SVM,0.25,0.5516666666666665,1.0,0.19978460623603833,500,,0.05,rbf,,,,,
417,SVM,0.3333333333333333,0.7633333333333334,1.0,0.23860706890897704,500,,0.05,linear,,,,,
415,SVM,0.3333333333333333,0.7633333333333334,1.0,0.23860706890897704,500,,0.1,linear,,,,,
413,SVM,0.3333333333333333,0.7633333333333334,1.0,0.23860706890897704,500,,0.5,linear,,,,,
411,SVM,0.3333333333333333,0.7633333333333334,1.0,0.23860706890897704,500,,1,linear,,,,,
410,SVM,0.3333333333333333,0.615,1.0,0.22711353010235993,100,,0.0001,rbf,,,,,
409,SVM,0.3333333333333333,0.7633333333333334,1.0,0.23860706890897704,100,,0.0001,linear,,,,,
408,SVM,0.3333333333333333,0.6366666666666667,1.0,0.23485219938411384,100,,0.0005,rbf,,,,,
406,SVM,0.3333333333333333,0.71,1.0,0.2448582356294261,100,,0.001,rbf,,,,,
392,SVM,0.4,0.64,1.0,0.1709775813764288,50,,0.0001,rbf,,,,,
405,SVM,0.3333333333333333,0.7633333333333334,1.0,0.23860706890897704,100,,0.001,linear,,,,,
404,SVM,0.3333333333333333,0.6016666666666667,1.0,0.20061710351368903,100,,0.005,rbf,,,,,
403,SVM,0.3333333333333333,0.7633333333333334,1.0,0.23860706890897704,100,,0.005,linear,,,,,
402,SVM,0.3333333333333333,0.6016666666666667,1.0,0.20061710351368903,100,,0.01,rbf,,,,,
401,SVM,0.3333333333333333,0.7633333333333334,1.0,0.23860706890897704,100,,0.01,linear,,,,,
400,SVM,0.25,0.5516666666666665,1.0,0.19978460623603833,100,,0.05,rbf,,,,,
399,SVM,0.3333333333333333,0.7633333333333334,1.0,0.23860706890897704,100,,0.05,linear,,,,,
397,SVM,0.3333333333333333,0.7633333333333334,1.0,0.23860706890897704,100,,0.1,linear,,,,,
395,SVM,0.3333333333333333,0.7633333333333334,1.0,0.23860706890897704,100,,0.5,linear,,,,,
420,SVM,0.3333333333333333,0.6016666666666667,1.0,0.20061710351368903,500,,0.01,rbf,,,,,
421,SVM,0.3333333333333333,0.7633333333333334,1.0,0.23860706890897704,500,,0.005,linear,,,,,
422,SVM,0.3333333333333333,0.6016666666666667,1.0,0.20061710351368903,500,,0.005,rbf,,,,,
423,SVM,0.3333333333333333,0.7633333333333334,1.0,0.23860706890897704,500,,0.001,linear,,,,,
445,SVM,0.3333333333333333,0.7633333333333334,1.0,0.23860706890897704,1000,,0.0001,linear,,,,,
