,estimator,min_score,mean_score,max_score,std_score,C,bootstrap,gamma,kernel,max_depth,min_samples_split,n_estimators
39,RF,0.25,0.5883333333333334,1.0,0.17889320215642007,,True,,,3,2,
63,RF,0.25,0.5866666666666667,1.0,0.21982316125063397,,False,,,5,10,
44,RF,0.25,0.5833333333333333,1.0,0.21705094128132943,,True,,,2,2,
46,RF,0.25,0.555,1.0,0.23933356545949747,,True,,,2,5,
47,RF,0.25,0.555,1.0,0.2116141667175323,,True,,,2,7,
52,RF,0.25,0.55,1.0,0.2129162589689508,,True,,,,7,
53,RF,0.25,0.5416666666666666,1.0,0.2287951534063216,,True,,,,10,
54,RF,0.25,0.5116666666666667,1.0,0.24889198906799356,,False,,,9,2,
56,RF,0.25,0.5366666666666667,1.0,0.2334285520001546,,False,,,9,5,
57,RF,0.25,0.5616666666666668,1.0,0.24141366066475103,,False,,,9,7,
58,RF,0.25,0.5599999999999999,1.0,0.23442601296689655,,False,,,9,10,
59,RF,0.25,0.5616666666666668,1.0,0.24141366066475103,,False,,,5,2,
60,RF,0.25,0.5616666666666668,1.0,0.21396391180653704,,False,,,5,3,
61,RF,0.25,0.5416666666666667,1.0,0.2287951534063216,,False,,,5,5,
64,RF,0.25,0.5866666666666667,1.0,0.21982316125063397,,False,,,3,2,
36,RF,0.25,0.5433333333333333,1.0,0.21018510360579262,,True,,,5,5,
65,RF,0.25,0.5616666666666668,1.0,0.24141366066475103,,False,,,3,3,
66,RF,0.25,0.5616666666666668,1.0,0.24141366066475103,,False,,,3,5,
67,RF,0.25,0.5916666666666667,1.0,0.25036085068467784,,False,,,3,7,
68,RF,0.25,0.5866666666666667,1.0,0.24662161750791883,,False,,,3,10,
69,RF,0.25,0.5716666666666667,1.0,0.24072229274045687,,False,,,2,2,
70,RF,0.0,0.5666666666666667,1.0,0.30559595692497127,,False,,,2,3,
71,RF,0.3333333333333333,0.6366666666666667,1.0,0.1927577639306795,,False,,,2,5,
72,RF,0.0,0.5366666666666667,1.0,0.28193773938387334,,False,,,2,7,
73,RF,0.25,0.62,1.0,0.25230052626888344,,False,,,2,10,
74,RF,0.25,0.5700000000000001,1.0,0.27047283700134395,,False,,,,2,
75,RF,0.25,0.5816666666666668,1.0,0.2354015481871113,,False,,,,3,
77,RF,0.25,0.5566666666666668,1.0,0.22939534045447005,,False,,,,7,
37,RF,0.25,0.5700000000000001,1.0,0.2072036035722674,,True,,,5,7,
78,RF,0.25,0.5366666666666667,1.0,0.2334285520001546,,False,,,,10,
26,AB,0.2,0.595,1.0,0.25254812522676856,,,,,,,200
24,AB,0.3333333333333333,0.595,1.0,0.23617907518566406,,,,,,,100
