,estimator,min_score,mean_score,max_score,std_score,C,bootstrap,gamma,kernel,learning_rate,max_depth,max_features,min_samples_split,n_estimators
3,AB,0.25,0.5466666666666666,0.8,0.17220788470785986,,,,,1.0,,,,250
2,AB,0.25,0.6,0.8,0.14776106839534334,,,,,1.0,,,,200
321,SVM,0.5,0.6700000000000002,0.8,0.10456258094238749,1,,1,linear,,,,,
307,SVM,0.5,0.6700000000000002,0.8,0.10456258094238749,0.5,,0.1,linear,,,,,
335,SVM,0.5,0.6700000000000002,0.8,0.10456258094238749,1,,0.0005,linear,,,,,
339,SVM,0.5,0.6700000000000002,0.8,0.10456258094238749,5,,1,linear,,,,,
332,SVM,0.25,0.5583333333333333,0.8,0.1862271611649481,1,,0.005,rbf,,,,,
333,SVM,0.5,0.6700000000000002,0.8,0.10456258094238749,1,,0.001,linear,,,,,
331,SVM,0.5,0.6700000000000002,0.8,0.10456258094238749,1,,0.005,linear,,,,,
330,SVM,0.25,0.5783333333333334,0.8,0.1998680120034775,1,,0.01,rbf,,,,,
329,SVM,0.5,0.6700000000000002,0.8,0.10456258094238749,1,,0.01,linear,,,,,
337,SVM,0.5,0.6700000000000002,0.8,0.10456258094238749,1,,0.0001,linear,,,,,
328,SVM,0.0,0.5083333333333333,0.8,0.24543046084606351,1,,0.05,rbf,,,,,
327,SVM,0.5,0.6700000000000002,0.8,0.10456258094238749,1,,0.05,linear,,,,,
341,SVM,0.5,0.6700000000000002,0.8,0.10456258094238749,5,,0.5,linear,,,,,
325,SVM,0.5,0.6700000000000002,0.8,0.10456258094238749,1,,0.1,linear,,,,,
343,SVM,0.5,0.6700000000000002,0.8,0.10456258094238749,5,,0.1,linear,,,,,
366,SVM,0.25,0.5383333333333333,0.75,0.1691564036295667,10,,0.01,rbf,,,,,
284,RF,0.25,0.5266666666666666,0.75,0.18873850222522753,,False,,,,,40,10,
438,SVM,0.25,0.5383333333333333,0.75,0.1691564036295667,1000,,0.01,rbf,,,,,
20,AB,0.3333333333333333,0.48999999999999994,0.75,0.1540562667772179,,,,,3,,,,100
14,AB,0.25,0.5700000000000001,0.75,0.17729448195962935,,,,,2.0,,,,300
420,SVM,0.25,0.5383333333333333,0.75,0.1691564036295667,500,,0.01,rbf,,,,,
5,AB,0.3333333333333333,0.5766666666666667,0.75,0.1339983416149452,,,,,1.5,,,,100
4,AB,0.25,0.5016666666666667,0.75,0.1734374687187159,,,,,1.0,,,,300
402,SVM,0.25,0.5383333333333333,0.75,0.1691564036295667,100,,0.01,rbf,,,,,
0,AB,0.25,0.5716666666666667,0.75,0.15794689684264843,,,,,1.0,,,,100
314,SVM,0.25,0.5266666666666666,0.75,0.1520599297060939,0.5,,0.005,rbf,,,,,
384,SVM,0.25,0.5383333333333333,0.75,0.1691564036295667,50,,0.01,rbf,,,,,
348,SVM,0.25,0.5383333333333333,0.75,0.1691564036295667,5,,0.01,rbf,,,,,
286,SVM,0.4,0.52,0.6666666666666666,0.10456258094238745,0.1,,1,rbf,,,,,
356,SVM,0.4,0.52,0.6666666666666666,0.10456258094238745,5,,0.0001,rbf,,,,,
340,SVM,0.5,0.5800000000000001,0.6666666666666666,0.07023769168568492,5,,1,rbf,,,,,
430,SVM,0.5,0.5800000000000001,0.6666666666666666,0.07023769168568492,1000,,1,rbf,,,,,
26,AB,0.0,0.43500000000000005,0.6666666666666666,0.1886280879284831,,,,,3.5,,,,150
432,SVM,0.5,0.5800000000000001,0.6666666666666666,0.07023769168568492,1000,,0.5,rbf,,,,,
25,AB,0.25,0.4883333333333333,0.6666666666666666,0.1320879336738304,,,,,3.5,,,,100
434,SVM,0.5,0.5800000000000001,0.6666666666666666,0.07023769168568492,1000,,0.1,rbf,,,,,
