,estimator,min_score,mean_score,max_score,std_score,C,bootstrap,gamma,kernel,max_depth,min_samples_split,n_estimators
39,RF,0.25,0.6483333333333334,1.0,0.2044572761673641,,True,,,3,2,
49,RF,0.25,0.6083333333333334,1.0,0.1899195736211632,,True,,,,2,
57,RF,0.25,0.5883333333333334,1.0,0.22913484627567626,,False,,,9,7,
56,RF,0.25,0.55,1.0,0.2270584848790187,,False,,,9,5,
55,RF,0.0,0.6233333333333334,1.0,0.29638563467962553,,False,,,9,3,
54,RF,0.0,0.5833333333333334,1.0,0.26853512081497105,,False,,,9,2,
53,RF,0.25,0.6416666666666667,1.0,0.2235136088325123,,True,,,,10,
52,RF,0.25,0.5633333333333334,1.0,0.22370615647416692,,True,,,,7,
50,RF,0.25,0.6283333333333334,1.0,0.22767545127024807,,True,,,,3,
48,RF,0.25,0.5633333333333335,1.0,0.22370615647416692,,True,,,2,10,
38,RF,0.25,0.5633333333333334,1.0,0.22370615647416692,,True,,,5,10,
47,RF,0.0,0.5583333333333333,1.0,0.2634440695437606,,True,,,2,7,
46,RF,0.25,0.6033333333333334,1.0,0.22666666666666668,,True,,,2,5,
45,RF,0.25,0.6083333333333334,1.0,0.1899195736211632,,True,,,2,3,
44,RF,0.25,0.6283333333333334,1.0,0.2175686354029714,,True,,,2,2,
43,RF,0.25,0.5900000000000001,1.0,0.26449112566503163,,True,,,3,10,
42,RF,0.25,0.6283333333333334,1.0,0.19833333333333333,,True,,,3,7,
41,RF,0.25,0.6416666666666667,1.0,0.22351360883251234,,True,,,3,5,
58,RF,0.0,0.5333333333333334,1.0,0.2791853227597118,,False,,,9,10,
59,RF,0.0,0.5133333333333334,1.0,0.2662288071899391,,False,,,5,2,
61,RF,0.0,0.5383333333333333,1.0,0.25166666666666665,,False,,,5,5,
62,RF,0.0,0.5583333333333333,1.0,0.2634440695437606,,False,,,5,7,
77,RF,0.0,0.5133333333333334,1.0,0.2662288071899391,,False,,,,7,
