,estimator,min_score,mean_score,max_score,std_score,C,bootstrap,gamma,kernel,max_depth,min_samples_split,n_estimators
39,RF,0.25,0.6133333333333334,1.0,0.18223915910448862,,True,,,3,2,
57,RF,0.0,0.5183333333333333,1.0,0.2539083386666229,,False,,,9,7,
34,RF,0.5,0.6466666666666667,1.0,0.1851125783588643,,True,,,5,2,
38,RF,0.3333333333333333,0.6133333333333333,1.0,0.2072036035722674,,True,,,5,10,
40,RF,0.2,0.6066666666666667,1.0,0.25475478405713997,,True,,,3,3,
41,RF,0.25,0.6216666666666667,1.0,0.2173131381210073,,True,,,3,5,
44,RF,0.4,0.5933333333333334,1.0,0.1576212055671585,,True,,,2,2,
45,RF,0.5,0.6383333333333334,1.0,0.14376871858803097,,True,,,2,3,
46,RF,0.3333333333333333,0.6100000000000001,1.0,0.18427033281447006,,True,,,2,5,
47,RF,0.25,0.6016666666666667,1.0,0.22735801430050068,,True,,,2,7,
48,RF,0.25,0.5933333333333334,1.0,0.1932471072084766,,True,,,2,10,
50,RF,0.5,0.6583333333333333,1.0,0.15078498304244728,,True,,,,3,
51,RF,0.5,0.6383333333333334,1.0,0.14376871858803097,,True,,,,5,
53,RF,0.25,0.6216666666666667,1.0,0.24438698819699872,,True,,,,10,
55,RF,0.0,0.6083333333333334,1.0,0.24712232688376104,,False,,,9,3,
58,RF,0.0,0.5833333333333334,1.0,0.26853512081497105,,False,,,9,10,
31,RF,0.25,0.5549999999999999,1.0,0.19178257364931664,,True,,,9,5,
59,RF,0.25,0.5933333333333334,1.0,0.1932471072084766,,False,,,5,2,
61,RF,0.0,0.5966666666666667,1.0,0.30320510110044874,,False,,,5,5,
63,RF,0.0,0.51,1.0,0.26637484032009395,,False,,,5,10,
64,RF,0.0,0.5483333333333335,1.0,0.2654608152711892,,False,,,3,2,
65,RF,0.25,0.5349999999999999,1.0,0.24306492045450648,,False,,,3,3,
66,RF,0.0,0.5283333333333334,1.0,0.2906936149587358,,False,,,3,5,
68,RF,0.0,0.55,1.0,0.2766867462592951,,False,,,3,10,
69,RF,0.0,0.575,1.0,0.259192120936489,,False,,,2,2,
70,RF,0.25,0.6383333333333334,1.0,0.20290254913244546,,False,,,2,3,
72,RF,0.0,0.55,1.0,0.2766867462592951,,False,,,2,7,
73,RF,0.0,0.5549999999999999,1.0,0.24855694630316721,,False,,,2,10,
