,estimator,min_score,mean_score,max_score,std_score,C,bootstrap,criterion,gamma,kernel,learning_rate,max_depth,max_features,min_samples_split,n_estimators
3460,RF,0.0,0.465,1.0,0.2521518501926082,,False,entropy,,,,11,100,25,
3461,RF,0.0,0.465,1.0,0.2521518501926082,,False,entropy,,,,11,100,30,
3462,RF,0.0,0.4600000000000001,1.0,0.2635442193552261,,False,entropy,,,,11,100,35,
3435,RF,0.25,0.49833333333333335,1.0,0.2063505647085938,,False,entropy,,,,11,80,10,
3433,RF,0.25,0.49833333333333335,1.0,0.2063505647085938,,False,entropy,,,,11,80,5,
2194,RF,0.25,0.49833333333333335,1.0,0.2063505647085938,,False,gini,,,,15,50,20,
2162,RF,0.25,0.49833333333333335,1.0,0.2063505647085938,,False,gini,,,,15,30,25,
2192,RF,0.25,0.49833333333333335,1.0,0.2063505647085938,,False,gini,,,,15,50,10,
2186,RF,0.0,0.465,1.0,0.2521518501926082,,False,gini,,,,15,40,35,
2185,RF,0.25,0.49833333333333335,1.0,0.2063505647085938,,False,gini,,,,15,40,30,
2184,RF,0.25,0.49833333333333335,1.0,0.2063505647085938,,False,gini,,,,15,40,25,
3414,RF,0.25,0.49833333333333335,1.0,0.2063505647085938,,False,entropy,,,,11,60,15,
2174,RF,0.25,0.49833333333333335,1.0,0.2063505647085938,,False,gini,,,,15,35,30,
2173,RF,0.25,0.49833333333333335,1.0,0.2063505647085938,,False,gini,,,,15,35,25,
3415,RF,0.0,0.465,1.0,0.2521518501926082,,False,entropy,,,,11,60,20,
2163,RF,0.25,0.49833333333333335,1.0,0.2063505647085938,,False,gini,,,,15,30,30,
3416,RF,0.0,0.465,1.0,0.2521518501926082,,False,entropy,,,,11,60,25,
3429,RF,0.0,0.465,1.0,0.2521518501926082,,False,entropy,,,,11,70,35,
2153,RF,0.25,0.49833333333333335,1.0,0.2063505647085938,,False,gini,,,,15,25,35,
3417,RF,0.0,0.465,1.0,0.2521518501926082,,False,entropy,,,,11,60,30,
3418,RF,0.0,0.465,1.0,0.2521518501926082,,False,entropy,,,,11,60,35,
2118,RF,0.25,0.5183333333333333,1.0,0.20554129079633177,,True,entropy,,,,,90,25,
3426,RF,0.0,0.465,1.0,0.2521518501926082,,False,entropy,,,,11,70,20,
3427,RF,0.0,0.465,1.0,0.2521518501926082,,False,entropy,,,,11,70,25,
2107,RF,0.25,0.5599999999999999,1.0,0.20604745947367453,,True,entropy,,,,,80,25,
2106,RF,0.25,0.5183333333333333,1.0,0.20554129079633177,,True,entropy,,,,,80,20,
3428,RF,0.0,0.465,1.0,0.2521518501926082,,False,entropy,,,,11,70,30,
2304,RF,0.25,0.49833333333333335,1.0,0.2063505647085938,,False,gini,,,,13,40,20,
2305,RF,0.25,0.5316666666666666,1.0,0.20391310785615413,,False,gini,,,,13,40,25,
2306,RF,0.0,0.465,1.0,0.2521518501926082,,False,gini,,,,13,40,30,
2439,RF,0.0,0.465,1.0,0.2521518501926082,,False,gini,,,,11,50,35,
2453,RF,0.25,0.5183333333333333,1.0,0.20554129079633177,,False,gini,,,,11,70,3,
2452,RF,0.0,0.48500000000000004,1.0,0.2541270460922165,,False,gini,,,,11,70,2,
2450,RF,0.0,0.465,1.0,0.2521518501926082,,False,gini,,,,11,60,35,
2449,RF,0.0,0.465,1.0,0.2521518501926082,,False,gini,,,,11,60,30,
2448,RF,0.0,0.465,1.0,0.2521518501926082,,False,gini,,,,11,60,25,
2447,RF,0.0,0.48500000000000004,1.0,0.2541270460922165,,False,gini,,,,11,60,20,
2446,RF,0.0,0.465,1.0,0.2521518501926082,,False,gini,,,,11,60,15,
2445,RF,0.25,0.49833333333333335,1.0,0.2063505647085938,,False,gini,,,,11,60,10,
2444,RF,0.25,0.49833333333333335,1.0,0.2063505647085938,,False,gini,,,,11,60,7,
2438,RF,0.0,0.465,1.0,0.2521518501926082,,False,gini,,,,11,50,30,
2456,RF,0.0,0.48500000000000004,1.0,0.2541270460922165,,False,gini,,,,11,70,10,
2437,RF,0.0,0.465,1.0,0.2521518501926082,,False,gini,,,,11,50,25,
2436,RF,0.25,0.49833333333333335,1.0,0.2063505647085938,,False,gini,,,,11,50,20,
2435,RF,0.0,0.465,1.0,0.2521518501926082,,False,gini,,,,11,50,15,
2428,RF,0.25,0.49833333333333335,1.0,0.2063505647085938,,False,gini,,,,11,40,35,
2427,RF,0.0,0.465,1.0,0.2521518501926082,,False,gini,,,,11,40,30,
2426,RF,0.0,0.465,1.0,0.2521518501926082,,False,gini,,,,11,40,25,
2425,RF,0.25,0.49833333333333335,1.0,0.2063505647085938,,False,gini,,,,11,40,20,
2416,RF,0.25,0.49833333333333335,1.0,0.2063505647085938,,False,gini,,,,11,35,30,
2415,RF,0.25,0.49833333333333335,1.0,0.2063505647085938,,False,gini,,,,11,35,25,
2455,RF,0.25,0.5516666666666666,1.0,0.19978460623603833,,False,gini,,,,11,70,7,
2457,RF,0.0,0.465,1.0,0.2521518501926082,,False,gini,,,,11,70,15,
2406,RF,0.25,0.49833333333333335,1.0,0.2063505647085938,,False,gini,,,,11,30,35,
2475,RF,0.0,0.48500000000000004,1.0,0.2541270460922165,,False,gini,,,,11,90,3,
2492,RF,0.0,0.465,1.0,0.2521518501926082,,False,gini,,,,11,100,25,
2489,RF,0.0,0.48500000000000004,1.0,0.2541270460922165,,False,gini,,,,11,100,10,
2488,RF,0.0,0.48500000000000004,1.0,0.2541270460922165,,False,gini,,,,11,100,7,
2487,RF,0.25,0.5183333333333333,1.0,0.20554129079633177,,False,gini,,,,11,100,5,
2482,RF,0.0,0.465,1.0,0.2521518501926082,,False,gini,,,,11,90,30,
2481,RF,0.0,0.48500000000000004,1.0,0.2541270460922165,,False,gini,,,,11,90,25,
2479,RF,0.0,0.48500000000000004,1.0,0.2541270460922165,,False,gini,,,,11,90,15,
2478,RF,0.0,0.48500000000000004,1.0,0.2541270460922165,,False,gini,,,,11,90,10,
2477,RF,0.0,0.48500000000000004,1.0,0.2541270460922165,,False,gini,,,,11,90,7,
2472,RF,0.0,0.48500000000000004,1.0,0.2541270460922165,,False,gini,,,,11,80,35,
2458,RF,0.0,0.465,1.0,0.2521518501926082,,False,gini,,,,11,70,20,
2471,RF,0.0,0.48500000000000004,1.0,0.2541270460922165,,False,gini,,,,11,80,30,
2470,RF,0.0,0.445,1.0,0.2485569463031672,,False,gini,,,,11,80,25,
2469,RF,0.0,0.465,1.0,0.2521518501926082,,False,gini,,,,11,80,20,
2468,RF,0.0,0.48500000000000004,1.0,0.2541270460922165,,False,gini,,,,11,80,15,
2466,RF,0.0,0.48500000000000004,1.0,0.2541270460922165,,False,gini,,,,11,80,7,
2465,RF,0.0,0.48500000000000004,1.0,0.2541270460922165,,False,gini,,,,11,80,5,
2461,RF,0.0,0.465,1.0,0.2521518501926082,,False,gini,,,,11,70,35,
2460,RF,0.0,0.465,1.0,0.2521518501926082,,False,gini,,,,11,70,30,
2459,RF,0.0,0.465,1.0,0.2521518501926082,,False,gini,,,,11,70,25,
3393,RF,0.25,0.49833333333333335,1.0,0.2063505647085938,,False,entropy,,,,11,40,20,
2405,RF,0.25,0.49833333333333335,1.0,0.2063505647085938,,False,gini,,,,11,30,30,
2307,RF,0.0,0.465,1.0,0.2521518501926082,,False,gini,,,,13,40,35,
2329,RF,0.0,0.465,1.0,0.2521518501926082,,False,gini,,,,13,60,35,
2345,RF,0.0,0.48500000000000004,1.0,0.2541270460922165,,False,gini,,,,13,80,7,
2344,RF,0.0,0.48500000000000004,1.0,0.2541270460922165,,False,gini,,,,13,80,5,
2340,RF,0.0,0.48500000000000004,1.0,0.2541270460922165,,False,gini,,,,13,70,35,
2339,RF,0.0,0.48500000000000004,1.0,0.2541270460922165,,False,gini,,,,13,70,30,
2338,RF,0.0,0.48500000000000004,1.0,0.2541270460922165,,False,gini,,,,13,70,25,
2337,RF,0.0,0.465,1.0,0.2521518501926082,,False,gini,,,,13,70,20,
2336,RF,0.0,0.465,1.0,0.2521518501926082,,False,gini,,,,13,70,15,
2334,RF,0.25,0.5183333333333333,1.0,0.20554129079633177,,False,gini,,,,13,70,7,
2332,RF,0.25,0.5516666666666666,1.0,0.19978460623603833,,False,gini,,,,13,70,3,
2328,RF,0.0,0.465,1.0,0.2521518501926082,,False,gini,,,,13,60,30,
2347,RF,0.0,0.48500000000000004,1.0,0.2541270460922165,,False,gini,,,,13,80,15,
2327,RF,0.0,0.465,1.0,0.2521518501926082,,False,gini,,,,13,60,25,
2326,RF,0.0,0.465,1.0,0.2521518501926082,,False,gini,,,,13,60,20,
2325,RF,0.0,0.465,1.0,0.2521518501926082,,False,gini,,,,13,60,15,
2324,RF,0.25,0.5316666666666666,1.0,0.20391310785615413,,False,gini,,,,13,60,10,
2318,RF,0.0,0.465,1.0,0.2521518501926082,,False,gini,,,,13,50,35,
2317,RF,0.0,0.465,1.0,0.2521518501926082,,False,gini,,,,13,50,30,
2316,RF,0.25,0.49833333333333335,1.0,0.2063505647085938,,False,gini,,,,13,50,25,
2315,RF,0.25,0.49833333333333335,1.0,0.2063505647085938,,False,gini,,,,13,50,20,
2314,RF,0.25,0.49833333333333335,1.0,0.2063505647085938,,False,gini,,,,13,50,15,
2346,RF,0.0,0.48500000000000004,1.0,0.2541270460922165,,False,gini,,,,13,80,10,
2349,RF,0.0,0.48500000000000004,1.0,0.2541270460922165,,False,gini,,,,13,80,25,
2404,RF,0.25,0.5316666666666666,1.0,0.20391310785615413,,False,gini,,,,11,30,25,
2368,RF,0.0,0.48500000000000004,1.0,0.2541270460922165,,False,gini,,,,13,100,10,
3394,RF,0.0,0.465,1.0,0.2521518501926082,,False,entropy,,,,11,40,25,
2395,RF,0.25,0.49833333333333335,1.0,0.2063505647085938,,False,gini,,,,11,25,35,
2394,RF,0.25,0.5316666666666666,1.0,0.20391310785615413,,False,gini,,,,11,25,30,
3395,RF,0.0,0.465,1.0,0.2521518501926082,,False,entropy,,,,11,40,30,
2383,RF,0.25,0.49833333333333335,1.0,0.2063505647085938,,False,gini,,,,11,20,30,
3396,RF,0.0,0.465,1.0,0.2521518501926082,,False,entropy,,,,11,40,35,
2372,RF,0.0,0.48500000000000004,1.0,0.2541270460922165,,False,gini,,,,13,100,30,
2371,RF,0.0,0.48500000000000004,1.0,0.2541270460922165,,False,gini,,,,13,100,25,
2369,RF,0.0,0.48500000000000004,1.0,0.2541270460922165,,False,gini,,,,13,100,15,
2367,RF,0.0,0.48500000000000004,1.0,0.2541270460922165,,False,gini,,,,13,100,7,
2350,RF,0.0,0.48500000000000004,1.0,0.2541270460922165,,False,gini,,,,13,80,30,
2366,RF,0.0,0.48500000000000004,1.0,0.2541270460922165,,False,gini,,,,13,100,5,
2365,RF,0.0,0.48500000000000004,1.0,0.2541270460922165,,False,gini,,,,13,100,3,
2362,RF,0.0,0.48500000000000004,1.0,0.2541270460922165,,False,gini,,,,13,90,35,
2361,RF,0.0,0.465,1.0,0.2521518501926082,,False,gini,,,,13,90,30,
2360,RF,0.0,0.48500000000000004,1.0,0.2541270460922165,,False,gini,,,,13,90,25,
2358,RF,0.0,0.48500000000000004,1.0,0.2541270460922165,,False,gini,,,,13,90,15,
2357,RF,0.0,0.48500000000000004,1.0,0.2541270460922165,,False,gini,,,,13,90,10,
2355,RF,0.0,0.48500000000000004,1.0,0.2541270460922165,,False,gini,,,,13,90,5,
2351,RF,0.0,0.48500000000000004,1.0,0.2541270460922165,,False,gini,,,,13,80,35,
1986,RF,0.2,0.5183333333333333,1.0,0.24134461299606882,,True,entropy,,,,2,80,25,
3471,RF,0.25,0.49833333333333335,1.0,0.2063505647085938,,False,entropy,,,,9,20,25,
3472,RF,0.25,0.49833333333333335,1.0,0.2063505647085938,,False,entropy,,,,9,20,30,
3748,RF,0.0,0.465,1.0,0.2521518501926082,,False,entropy,,,,3,35,35,
3714,RF,0.25,0.49833333333333335,1.0,0.2063505647085938,,False,entropy,,,,3,20,30,
1238,RF,0.25,0.5599999999999999,1.0,0.20604745947367453,,True,entropy,,,,15,60,25,
3715,RF,0.0,0.465,1.0,0.2521518501926082,,False,entropy,,,,3,20,35,
3726,RF,0.0,0.465,1.0,0.2521518501926082,,False,entropy,,,,3,25,35,
1194,RF,0.25,0.5716666666666667,1.0,0.19351284769291735,,True,entropy,,,,15,30,25,
3736,RF,0.0,0.465,1.0,0.2521518501926082,,False,entropy,,,,3,30,30,
3737,RF,0.0,0.465,1.0,0.2521518501926082,,False,entropy,,,,3,30,35,
3745,RF,0.25,0.49833333333333335,1.0,0.2063505647085938,,False,entropy,,,,3,35,20,
3747,RF,0.0,0.465,1.0,0.2521518501926082,,False,entropy,,,,3,35,30,
1139,RF,0.25,0.5516666666666666,1.0,0.19978460623603833,,True,gini,,,,,80,25,
1248,RF,0.25,0.5516666666666666,1.0,0.19978460623603833,,True,entropy,,,,15,70,20,
3757,RF,0.25,0.49833333333333335,1.0,0.2063505647085938,,False,entropy,,,,3,40,25,
3758,RF,0.0,0.465,1.0,0.2521518501926082,,False,entropy,,,,3,40,30,
3759,RF,0.0,0.465,1.0,0.2521518501926082,,False,entropy,,,,3,40,35,
1095,RF,0.25,0.5599999999999999,1.0,0.20604745947367453,,True,gini,,,,,40,25,
3766,RF,0.25,0.49833333333333335,1.0,0.2063505647085938,,False,entropy,,,,3,50,15,
3767,RF,0.25,0.49833333333333335,1.0,0.2063505647085938,,False,entropy,,,,3,50,20,
3768,RF,0.0,0.465,1.0,0.2521518501926082,,False,entropy,,,,3,50,25,
3769,RF,0.0,0.465,1.0,0.2521518501926082,,False,entropy,,,,3,50,30,
3770,RF,0.0,0.465,1.0,0.2521518501926082,,False,entropy,,,,3,50,35,
3713,RF,0.25,0.49833333333333335,1.0,0.2063505647085938,,False,entropy,,,,3,20,25,
3704,RF,0.0,0.48500000000000004,1.0,0.2541270460922165,,False,entropy,,,,5,100,35,
3777,RF,0.25,0.49833333333333335,1.0,0.2063505647085938,,False,entropy,,,,3,60,15,
3693,RF,0.0,0.48500000000000004,1.0,0.2541270460922165,,False,entropy,,,,5,90,35,
3678,RF,0.25,0.49833333333333335,1.0,0.2063505647085938,,False,entropy,,,,5,80,15,
3679,RF,0.0,0.465,1.0,0.2521518501926082,,False,entropy,,,,5,80,20,
3680,RF,0.0,0.465,1.0,0.2521518501926082,,False,entropy,,,,5,80,25,
3681,RF,0.0,0.465,1.0,0.2521518501926082,,False,entropy,,,,5,80,30,
3682,RF,0.0,0.465,1.0,0.2521518501926082,,False,entropy,,,,5,80,35,
3689,RF,0.25,0.49833333333333335,1.0,0.2063505647085938,,False,entropy,,,,5,90,15,
3690,RF,0.0,0.465,1.0,0.2521518501926082,,False,entropy,,,,5,90,20,
3691,RF,0.0,0.44000000000000006,1.0,0.25972207367791356,,False,entropy,,,,5,90,25,
